Date,Close,High,Low,Volume,SMA_20,EMA_20,RSI,MACD,MACD_Signal,Current_Price,Market_Cap,Circulating_Supply,Total_Supply,Previous_Close,Day_Range,52_Week_High,52_Week_Low,YTD_Performance,Change %,10 yr %,Day %
24/3/2015,4994.72998,5032.47998,4994.560059,1611670000,4953.768506,4943.295709,53.20879181,38.20446755,36.05778041,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.32%,106%,1%
25/3/2015,4876.52002,5006.759766,4876.52002,2219520000,4949.2375,4936.93612,40.0187811,28.31756746,34.50973782,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-2.37%,103%,3%
26/3/2015,4863.359863,4889.209961,4825.930176,2004960000,4943.010986,4929.928857,43.4706122,19.19890032,31.44757032,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.27%,103%,1%
27/3/2015,4891.220215,4899.259766,4859.660156,1678650000,4939.395508,4926.24232,44.90818046,14.05833273,27.9697228,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.57%,103%,1%
30/3/2015,4947.439941,4948.459961,4921.120117,1778520000,4936.3625,4928.261141,59.19666781,14.3553781,25.24685386,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,1.15%,105%,1%
31/3/2015,4900.879883,4940.870117,4899.310059,1837660000,4932.411499,4925.653402,54.96257791,10.7103192,22.33954693,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.94%,104%,1%
1/4/2015,4880.22998,4899.379883,4844.390137,1874960000,4928.065991,4921.327362,48.66880942,6.085163241,19.08867019,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.42%,103%,1%
2/4/2015,4886.939941,4901.330078,4872.959961,1563670000,4923.272485,4918.05237,51.59549409,2.927386503,15.85641345,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.14%,103%,1%
6/4/2015,4917.319824,4929.620117,4852.910156,1737560000,4922.769971,4917.982603,48.64057781,2.843450805,13.25382092,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.62%,104%,2%
7/4/2015,4910.22998,4948.879883,4909.77002,1572940000,4921.159473,4917.244258,46.96100467,2.179713639,11.03899947,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.14%,104%,1%
